fnf.lang.arabic,العربية,,,
fnf.lang.chinesesimple,正体字,,,
fnf.lang.chinesetranditional,正體字,,,
fnf.lang.deutsch,deutsch,,,
fnf.lang.english,english,,,
fnf.lang.espanol,español,,,
fnf.lang.francais,français,,,
fnf.lang.italiano,italiano,,,
fnf.lang.japanese,日本語,,,
fnf.lang.korean,한글,,,
fnf.lang.portugues,português,,,
fnf.lang.russian,русский язык,,,
fnf.theme.alpaca.desc,奖励式广告硬币会持续的微幅增加,,,
fnf.theme.alpaca.name,阿皮,,,
fnf.theme.bear.desc,,,,
fnf.theme.bear.name,熊寶貝,,,
fnf.theme.boo.desc,必须以Facebook账号来登入,,,
fnf.theme.boo.name,咕咕噜,,,
fnf.theme.cameleon.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.cameleon.name,马卡龙,,,
fnf.theme.chick.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.chick.name,哔哔,,,
fnf.theme.chicken.desc,奖励式广告硬币会持续的微幅增加.,,,
fnf.theme.chicken.name,咕咕,,,
fnf.theme.cow.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.cow.name,牛奶,,,
fnf.theme.crocodile.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.crocodile.name,小呆,,,
fnf.theme.elephant.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.elephant.name,拳霸,,,
fnf.theme.frog.desc,奖励式广告硬币会持续的微幅增加.,,,
fnf.theme.frog.name,杰利鼠,,,
fnf.theme.furseal.desc,奖励式广告硬币会持续的微幅增加.,,,
fnf.theme.furseal.name,乐乐,,,
fnf.theme.gibbon.desc,奖励式广告硬币会持续的微幅增加.,,,
fnf.theme.gibbon.name,巴斯,,,
fnf.theme.giraffe.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.giraffe.name,袜子,,,
fnf.theme.greenturtle.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.greenturtle.name,小豆,,,
fnf.theme.hippopotamus.desc,奖励式广告硬币会持续的微幅增加.,,,
fnf.theme.hippopotamus.name,大嘴,,,
fnf.theme.horse.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.horse.name,小马哥,,,
fnf.theme.jindo.desc,奖励式广告硬币会持续的微幅增加.,,,
fnf.theme.jindo.name,珍珍,,,
fnf.theme.lion.desc,取得的硬币数会持续微幅增加,,,
fnf.theme.lion.name,狮大王,,,
fnf.theme.lioness.desc,奖励式广告硬币会持续的微幅增加.,,,
