"fnf.lang.arabic","العربية"
"fnf.lang.chinesesimple","正体字"
"fnf.lang.chinesetranditional","正體字"
"fnf.lang.deutsch","deutsch"
"fnf.lang.english","english"
"fnf.lang.espanol","español"
"fnf.lang.francais","français"
"fnf.lang.italiano","italiano"
"fnf.lang.japanese","日本語"
"fnf.lang.korean","한글"
"fnf.lang.portugues","português"
"fnf.lang.russian","русский язык"
"fnf.theme.alpaca.desc","Alpie"
"fnf.theme.alpaca.name","Alpie"
"fnf.theme.bear.desc","Ursa"
"fnf.theme.bear.name","Ursa"
"fnf.theme.boo.desc","Olly"
"fnf.theme.boo.name","Olly"
"fnf.theme.cameleon.desc","Dizzy"
"fnf.theme.cameleon.name","Dizzy"
"fnf.theme.chick.desc","Eggy"
"fnf.theme.chick.name","Eggy"
"fnf.theme.chicken.desc","Chickicious"
"fnf.theme.chicken.name","Chickicious"
"fnf.theme.cow.desc","Mooo"
"fnf.theme.cow.name","Mooo"
"fnf.theme.crocodile.desc","Dale"
"fnf.theme.crocodile.name","Dale"
"fnf.theme.elephant.desc","Elephantine"
"fnf.theme.elephant.name","Elephantine"
"fnf.theme.frog.desc","Ribbit"
"fnf.theme.frog.name","Ribbit"
"fnf.theme.furseal.desc","Silly"
"fnf.theme.furseal.name","Silly"
"fnf.theme.gibbon.desc","Lady Long Leg"
"fnf.theme.gibbon.name","Lady Long Leg"
"fnf.theme.giraffe.desc","Long-socks"
"fnf.theme.giraffe.name","Long-socks"
"fnf.theme.greenturtle.desc","Grumpy"
"fnf.theme.greenturtle.name","Grumpy"
"fnf.theme.hippopotamus.desc","Hippo"
"fnf.theme.hippopotamus.name","Hippo"
"fnf.theme.horse.desc","Homer"
"fnf.theme.horse.name","Homer"
"fnf.theme.jindo.desc","JD"
"fnf.theme.jindo.name","JD"
"fnf.theme.lion.desc","Mr.King"
"fnf.theme.lion.name","Mr.King"
"fnf.theme.lioness.desc","Mrs.King"
"fnf.theme.lioness.name","Mrs.King"
"fnf.theme.loli.desc","Lory"
"fnf.theme.loli.name","Lory"
"fnf.theme.naru.desc","Naru"
"fnf.theme.naru.name","Naru"
"fnf.theme.otter.desc","Ott-meal"
"fnf.theme.otter.name","Ott-meal"
"fnf.theme.panda.desc","Mao Ping"
"fnf.theme.panda.name","Mao Ping"
"fnf.theme.penguin.desc","Bully"
"fnf.theme.penguin.name","Bully"
"fnf.theme.persian.desc","Agent S."
"fnf.theme.persian.name","Agent S."
"fnf.theme.pig.desc","Babe"
"fnf.theme.pig.name","Babe"
"fnf.theme.pigblack.desc","Dave"
"fnf.theme.pigblack.name","Dave"
"fnf.theme.polarbear.desc","Cola"
"fnf.theme.polarbear.name","Cola"
"fnf.theme.pomeranian.desc","Woofy"
"fnf.theme.pomeranian.name","Woofy"
"fnf.theme.pomewhite.desc","Wacky"
"fnf.theme.pomewhite.name","Wacky"
"fnf.theme.rabbit.desc","Brownie"
"fnf.theme.rabbit.name","Brownie"
"fnf.theme.raccoon.desc","Choco"
"fnf.theme.raccoon.name","Choco"
"fnf.theme.santa.desc","Santa"
"fnf.theme.santa.name","Santa"
"fnf.theme.sealion.desc","Aniki"
"fnf.theme.sealion.name","Aniki"
"fnf.theme.sheep.desc","Mellow"
"fnf.theme.sheep.name","Mellow"
"fnf.theme.soan.desc","Small-eye"
"fnf.theme.soan.name","Small-eye"
"fnf.theme.welshcorgi.desc","Hazel"
"fnf.theme.welshcorgi.name","Hazel"
"fnf.ui.best","Best Score"
"fnf.ui.bi","4e2f56b4ab22d4c048fc5519195b8497"
"fnf.ui.buy","Purchase"
"fnf.ui.clear","Congratulation ! All level cleared"
"fnf.ui.connect","Connect"
"fnf.ui.connect.error.fail","login failed"
"fnf.ui.connect.error.net","no network connection error"
"fnf.ui.connect.login","LOGIN"
"fnf.ui.connect.logout","LOGOUT"
"fnf.ui.connect.wait","wait please"
"fnf.ui.credits","Credits"
"fnf.ui.erase","Tap the box you want to erase"
"fnf.ui.gameover","Gameover"
"fnf.ui.home","Home"
"fnf.ui.language","Language"
"fnf.ui.mute","Sound off"
"fnf.ui.nomoremove","No more move"
"fnf.ui.ok","OK"
"fnf.ui.oops","Oops ! Do it better next time !"
"fnf.ui.option","Option"
"fnf.ui.pause","Pause"
"fnf.ui.paw","paw to erase ?"
"fnf.ui.rank","Rank"
"fnf.ui.restore","Restore"
"fnf.ui.retry","Retry"
"fnf.ui.reward","Bonus"
"fnf.ui.share","Share"
"fnf.ui.start","Start"
"fnf.ui.title","Animal Bang"
"fnf.ui.tutorial","Tutorial"
"fnf.ui.tutorial.1","swipe to move boxes"
"fnf.ui.tutorial.2","combine two some boxes to get a bigger one"
"fnf.ui.tutorial.3","It's over when there's no more move"
"fnf.ui.tutorial.4","complete all levels of each animal theme"
"fnf.ui.unmute","Sound on"
"fnf.ui.victory","Victory"
"fnf.ui.yes","Yes, Please !"
