"fnf.lang.arabic","العربية"
"fnf.lang.chinesesimple","正体字"
"fnf.lang.chinesetranditional","正體字"
"fnf.lang.deutsch","deutsch"
"fnf.lang.english","english"
"fnf.lang.espanol","español"
"fnf.lang.francais","français"
"fnf.lang.italiano","italiano"
"fnf.lang.japanese","日本語"
"fnf.lang.korean","한글"
"fnf.lang.portugues","português"
"fnf.lang.russian","русский язык"
"fnf.theme.alpaca.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.alpaca.name","アルピー"
"fnf.theme.bear.desc",""
"fnf.theme.bear.name","ボス"
"fnf.theme.boo.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.boo.name","フクちゃん"
"fnf.theme.cameleon.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.cameleon.name","レオン"
"fnf.theme.chick.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.chick.name","ピョ"
"fnf.theme.chicken.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.chicken.name","ココ"
"fnf.theme.cow.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.cow.name","ミルク"
"fnf.theme.crocodile.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.crocodile.name","ダイル"
"fnf.theme.elephant.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.elephant.name","ゾウさん"
"fnf.theme.frog.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.frog.name","ヶロ"
"fnf.theme.furseal.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.furseal.name","ハッピー"
"fnf.theme.gibbon.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.gibbon.name","バーズ"
"fnf.theme.giraffe.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.giraffe.name","クツシタさん"
"fnf.theme.greenturtle.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.greenturtle.name","カメちゃん"
"fnf.theme.hippopotamus.desc","広告補償コインが永久的に少し増えます。"
"fnf.theme.hippopotamus.name","カポポ"
"fnf.theme.horse.desc","コインの獲得量が永久的に少し増えます。"
"fnf.theme.horse.name","アホリン"
"fnf.theme.jindo.desc","広告補償コインが永久的に少し増えます。"
