"fnf.lang.arabic","العربية"
"fnf.lang.chinesesimple","正体字"
"fnf.lang.chinesetranditional","正體字"
"fnf.lang.deutsch","deutsch"
"fnf.lang.english","english"
"fnf.lang.espanol","español"
"fnf.lang.francais","français"
"fnf.lang.italiano","italiano"
"fnf.lang.japanese","日本語"
"fnf.lang.korean","한글"
"fnf.lang.russian","русский язык"
"fnf.theme.alpaca.desc","광고보상 코인이 영구적으로 조금 증가합니다"
"fnf.theme.alpaca.name","알파카"
"fnf.theme.bear.desc",""
"fnf.theme.bear.name","곰"
"fnf.theme.boo.desc","Facebook으로 로그인해야 합니다"
"fnf.theme.boo.name","수리부엉이"
"fnf.theme.cameleon.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.cameleon.name","카멜레온"
"fnf.theme.chick.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.chick.name","아기치킨"
"fnf.theme.chicken.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.chicken.name","치느님"
"fnf.theme.cow.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.cow.name","소"
"fnf.theme.crocodile.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.crocodile.name","악어"
"fnf.theme.elephant.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.elephant.name","코끼리"
"fnf.theme.frog.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.frog.name","깨굴"
"fnf.theme.furseal.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.furseal.name","물개"
"fnf.theme.gibbon.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.gibbon.name","원숭이"
"fnf.theme.giraffe.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.giraffe.name","기린"
"fnf.theme.greenturtle.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.greenturtle.name","바다꼬북"
"fnf.theme.hippopotamus.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.hippopotamus.name","작은하마"
"fnf.theme.horse.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.horse.name","말"
