"fnf.lang.arabic","العربية"
"fnf.lang.chinesesimple","正体字"
"fnf.lang.chinesetranditional","正體字"
"fnf.lang.deutsch","deutsch"
"fnf.lang.english","english"
"fnf.lang.espanol","español"
"fnf.lang.francais","français"
"fnf.lang.italiano","italiano"
"fnf.lang.japanese","日本語"
"fnf.lang.korean","한글"
"fnf.lang.portugues","português"
"fnf.lang.russian","русский язык"
"fnf.theme.alpaca.desc","광고보상 코인이 영구적으로 조금 증가합니다"
"fnf.theme.alpaca.name","알피"
"fnf.theme.bear.desc",""
"fnf.theme.bear.name","보스"
"fnf.theme.boo.desc","Facebook으로 로그인해야 합니다"
"fnf.theme.boo.name","안경"
"fnf.theme.cameleon.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.cameleon.name","마카롱"
"fnf.theme.chick.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.chick.name","잼잼"
"fnf.theme.chicken.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.chicken.name","치느님"
"fnf.theme.cow.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.cow.name","우유"
"fnf.theme.crocodile.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.crocodile.name","멍청이"
"fnf.theme.elephant.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.elephant.name","옹박"
"fnf.theme.frog.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.frog.name","제리"
"fnf.theme.furseal.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.furseal.name","해피"
"fnf.theme.gibbon.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.gibbon.name","버즈"
"fnf.theme.giraffe.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.giraffe.name","양말"
"fnf.theme.greenturtle.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.greenturtle.name","콩이"
"fnf.theme.hippopotamus.desc","광고보상 코인이 영구적으로 조금 증가합니다."
"fnf.theme.hippopotamus.name","감자"
"fnf.theme.horse.desc","코인 획득량이 영구적으로 조금 증가합니다"
"fnf.theme.horse.name","얼빵이"
