"fnf.lang.arabic","العربية"
"fnf.lang.chinesesimple","正体字"
"fnf.lang.chinesetranditional","正體字"
"fnf.lang.deutsch","deutsch"
"fnf.lang.english","english"
"fnf.lang.espanol","español"
"fnf.lang.francais","français"
"fnf.lang.italiano","italiano"
"fnf.lang.japanese","日本語"
"fnf.lang.korean","한글"
"fnf.lang.portugues","português"
"fnf.lang.russian","русский язык"
"fnf.theme.alpaca.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.alpaca.name","Alpie"
"fnf.theme.bear.desc",""
"fnf.theme.bear.name","Ursa"
"fnf.theme.boo.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.boo.name","Olly"
"fnf.theme.cameleon.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.cameleon.name","Dizzy"
"fnf.theme.chick.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.chick.name","Eggy"
"fnf.theme.chicken.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.chicken.name","Chickicious"
"fnf.theme.cow.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.cow.name","Mooo"
"fnf.theme.crocodile.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.crocodile.name","Dale"
"fnf.theme.elephant.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.elephant.name","Elephantine"
"fnf.theme.frog.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.frog.name","Ribbit"
"fnf.theme.furseal.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.furseal.name","Silly"
"fnf.theme.gibbon.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
"fnf.theme.gibbon.name","Lady Long Leg"
"fnf.theme.giraffe.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.giraffe.name","Long-socks"
"fnf.theme.greenturtle.desc","Valor de aquisição de moedas irá aumentar permanentemente pouco."
"fnf.theme.greenturtle.name","Grumpy"
"fnf.theme.hippopotamus.desc","Moeda bônus publicidade irá aumentar permanentemente pouco."
